"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
816,"Y",2018-05-10,2018-03-26,102500000,10,"Belize","Platform,Investment,Real estate",2.8,3.1,3,"Ethereum","1",1,1,0,1,1,1,0,8267.913468,"Americas",45
817,"Y",2018-02-10,2017-12-10,1e+08,10,"Germany","Business services,Legal,Platform,Smart Contract",3.7,4.1,4.3,"Ethereum","unknown",1,1,0,0,0.4,1,0,13369.7913,"Europe",62
818,"Y",2017-12-24,2017-12-16,1.06e+08,6,"Switzerland","Cryptocurrency,Platform,Banking,Software",3.2,3.8,3.7,"Ethereum","1",1,1,0,1,0,1,1,16712.59994,"Europe",8
819,"Y",2018-04-30,2018-03-01,4e+07,30,"UK","Big Data,Health,Platform,Smart Contract",4,4.1,3.9,"Ethereum","4",1,1,3,1,1,1,0,8545.330638,"Europe",60
820,"Y",2017-11-30,2017-10-31,2e+07,8,"Russia","Cryptocurrency,Communication,Internet,Platform",4,4.1,3.8,"Ethereum","5",1,1,3,0,0.89,0.89,0,7769.754489,"Europe",30
821,"N",2018-06-02,2018-05-02,500,4,"UK","Cryptocurrency,Big Data,Artificial Intelligence,Investment,Platform,Software",2.1,1.5,1,"Ethereum","1",1,1,0,1,0.75,1,1,8376.463135,"Europe",31
822,"Y",2018-02-01,2018-02-01,2307692310,15,"Gibraltar","Energy",4,4.2,4.1,"Ethereum","1",1,1,3,0,0.73,1,0,9170.540039,"Europe",0
823,"Y",2018-03-20,2018-03-01,1.5e+09,18,"Switzerland","Business services,Communication,Internet,Media,Platform",4.7,4.7,4.7,"Ethereum","1",1,1,1,0,1,1,0,9576.466455,"Europe",19
824,"N",2018-01-31,2017-11-06,24999,10,"Estonia","Platform,Business services,Investment,Real estate,Cryptocurrency",2.3,0,0,"Ethereum","5",1,1,0,0,0.9,0.9,0,12394.57196,"Europe",86
825,"Y",2017-11-24,2017-11-09,1.25e+08,10,"Japan","Platform",3.5,3.8,2.8,"Ethereum","2",1,1,3,1,1,1,0,7425.337524,"Asia",15
826,"Y",2017-08-17,2017-07-17,1e+09,9,"Israel","Platform",1.8,0,0,"Ethereum","unknown",1,1,0,0,0,0,0,3109.067169,"Asia",31
827,"N",2018-05-15,2018-04-02,4e+08,15,"Singapore","Business services,Infrastructure",3.4,3.4,3.4,"Ethereum","1",1,1,1,1,0.81,1,0,8439.786577,"Asia",43
828,"N",2017-12-06,2017-11-01,0,8,"Russia","Platform,Manufacturing",2.1,0,0,"Ethereum","3",1,0,0,0,0,1,0,8489.799696,"Europe",35
829,"N",2017-11-30,2017-10-25,0,15,"USA","Platform,Software",3.1,0,0,"Ethereum","1",1,1,0,0,1,1,0,7468.551045,"Americas",36
830,"N",2017-12-24,2017-12-05,0,11,"Russia","Platform,Entertainment",3,3,3,"Ethereum","1",1,1,0,1,0,1,1,16337.78003,"Europe",19
831,"Y",2018-04-15,2018-01-15,4.5e+07,5,"Russia","Cryptocurrency,Retail,Business services",2.8,4,3,"ThePower","2",1,1,0,1,0,1,0,9321.861028,"Europe",90
832,"N",2018-03-29,2018-03-01,4e+07,10,"Belarus","Business services,Infrastructure",2.9,3,3,"Waves","5",1,1,0,1,0.4,1,1,9185.973111,"Europe",28
833,"Y",2017-06-18,2017-05-18,9476400,4,"Switzerland","Banking",2.5,0,0,"Ethereum","1",1,1,3,0,1,1,0,2442.832809,"Europe",31
834,"Y",2017-12-22,2017-11-27,5e+07,12,"Lithuania","Platform,Communication",4.2,4.3,4.7,"Ethereum","3",1,1,0,0,1,1,0,14736.9446,"Europe",25
835,"Y",2018-03-31,2018-02-19,7e+07,27,"Russia","Cryptocurrency,Business services,Internet,Platform",3.6,3.9,3.6,"Ethereum","3",1,1,3,1,0.81,1,1,9386.604171,"Europe",40
836,"N",2018-01-31,2018-01-15,3e+07,16,"USA","Platform,Cryptocurrency,Internet",3.7,4,3.6,"Ethereum","1",1,1,0,1,1,1,1,11442.42952,"Americas",16
837,"Y",2018-05-21,2018-04-04,3e+08,30,"China","Real estate",3.6,5,4,"Ethereum","3",1,1,0,0,1,1,1,8473.004985,"Asia",47
838,"N",2018-04-30,2018-04-01,1.3e+08,11,"Russia","Business services,Education,Internet",2.8,3,3,"Ethereum","2",1,0,0,1,0.36,1,0,8033.596631,"Europe",29
839,"Y",2018-02-18,2018-02-14,4.5e+08,53,"Israel","Platform",4.1,4.7,4.4,"Ethereum","1",1,1,0,0,0.91,1,0,10311.88613,"Asia",4
840,"Y",2018-03-04,2018-01-04,1.68e+10,13,"UK","Infrastructure,Platform,Smart Contract,Software",3.8,4.4,3.9,"Ethereum","3",1,1,0,0,0.77,1,1,11201.12889,"Europe",59
